Excel行号,列1,列2,列3,列4,列5,列6,列7,列8,列9,列10,列11,列12,列13,列14,列15,列16,列17,列18,列19,列20,列21,列22,列23,列24
1,是否首期展示(必填),一级分类/Series(必填),二级分类(可选),产品名(必填),型号/SKU(必填),主图文件/链接(必填),图片素材文件夹(建议),3个核心卖点(必填),适用年龄(建议),承重(建议),轮径/轮材质(建议),车身/踏板材质(建议),折叠/调高/灯光等功能(建议),可定制项(建议),MOQ(建议),Lead Time(建议),包装方式(建议),箱规/CBM/装柜量(建议),适用认证/标准(建议),目标市场(建议),是否有英文描述(必填),英文描述/链接(建议),排序优先级(建议),备注
2,yes,3-Wheel Toddler Scooters,,MW 3-Wheel Scooter,MWKE082,"企微→产品资料→大货产品照片→Non-Electric Scooter→TNT Scooter
糖果款车子图片需实拍
伸缩T杆的图片需要实拍",/images/MW-301/,Stable deck; adjustable handlebar; LED wheels;LED deck,3-6 years,50kg,"120mm PU
or 
120mm PVC","PP Deck
Steel Frame","Non-adjustable / Light-up wheels/
Adjustable handlebar","Logo, Color, Packaging",500 pcs,30-45 days,Color box + master carton,"1pack
20GP=975pcs
40GP=2006pcs
40HQ=2270pcs",EN71 / ASTM F2264/ ASTM F963/ CPSC,US / EU,yes,,hero,示例行，可覆盖
3,yes,2-Wheel Kids Scooters,,MW 2-Wheel Scooter,MWKE06,"企微→产品资料→大货产品照片→Non-Electric Scooter→INLINE Scooter（蓝色）

小猫款车子图片需实拍",,Foldable; lightweight; retail-ready packaging,6-12 years,80kg,100mm PU,Aluminum,Foldable / adjustable,"Logo, Color, Packaging",500 pcs,30-45 days,Color box + master carton,"1pack
20GP=2150pcs
40GP=4500pcs
40HQ=4896pcs",ASTM F2264,US,yes,,main,示例行，可覆盖
4,yes,3-Wheel Toddler Scooters,,MW 3-Wheel Scooter,MWTP001,"企微→产品资料→大货产品照片→Non-Electric Scooter→TOP TNT Scooter



需实拍车子
（并保留整套白底图）",,Stable deck; adjustable handlebar; LED wheels;LED deck,3-6 years,50kg,120mm PVC,"PP Deck
Nylon Frame","Non-adjustable / Light-up wheels/
Adjustable handlebar","Logo, Color, Packaging",500 pcs,30-45 days,Color box + master carton,"1pack
20GP=2652pcs
40GP=5388pcs
40HQ=6160pcs",EN71 / ASTM F2264/ ASTM F963/ CPSC,US / EU,yes,,,
5,yes,3-Wheel Toddler Scooters,,MW 3-Wheel Scooter,MWKE005,企微→产品资料→大货产品照片→Electric Scooter→Kids Scooter→12V 泡泡车→泡泡车→白底图,,Stable deck; adjustable handlebar; Bubble;2-1 function,3-5 years,50kg,145mm PVC,"PP Deck
Steel Frame","Non-adjustable / Bubble/
Adjustable handlebar","Logo, Color, Packaging",500 pcs,,,,,,,,,
6,maybe,Light-up Series,,LED Light-up Scooter,？,MW-L01-main.jpg,,LED wheels; shelf appeal; ODM options,3-8 years,50kg,LED PU wheel,待补,LED wheel / deck light,"Lighting, graphics, packaging",待补,待补,待补,待补,待补,US / EU,待补,,normal,示例行，可覆盖
